预测标签,威胁类型,置信度
4,探测攻击,0.9999875
0,正常,0.9998559
0,正常,1.0
0,正常,1.0
3,R2L攻击,0.999057
3,R2L攻击,0.90602696
3,R2L攻击,0.9988067
3,R2L攻击,0.597107
1,DoS攻击,0.6583422
0,正常,0.6267914
1,DoS攻击,0.99999905
1,DoS攻击,0.74112415
1,DoS攻击,0.9999999
4,探测攻击,0.88339996
0,正常,0.9999993
4,探测攻击,1.0
1,DoS攻击,0.62041205
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999988
0,正常,0.9988501
3,R2L攻击,0.9467682
0,正常,0.8913567
0,正常,0.98244023
1,DoS攻击,0.96800214
0,正常,0.99922824
0,正常,0.99998236
0,正常,0.96770144
0,正常,0.86867297
1,DoS攻击,0.9999932
0,正常,1.0
0,正常,1.0
4,探测攻击,1.0
0,正常,1.0
0,正常,0.9945235
0,正常,0.66731083
0,正常,0.9933509
1,DoS攻击,0.7982933
0,正常,0.9989366
4,探测攻击,0.99997175
1,DoS攻击,0.99738246
3,R2L攻击,0.9970348
0,正常,0.7445335
1,DoS攻击,0.61326545
0,正常,0.9996111
1,DoS攻击,0.99999976
0,正常,0.9945688
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.9429613
1,DoS攻击,0.9999999
0,正常,0.9901101
0,正常,0.89370954
0,正常,1.0
4,探测攻击,0.9947748
1,DoS攻击,0.99330443
1,DoS攻击,0.99999976
1,DoS攻击,0.9999894
3,R2L攻击,0.8006071
3,R2L攻击,0.597604
1,DoS攻击,0.9999995
0,正常,1.0
0,正常,0.9746377
1,DoS攻击,0.8529776
0,正常,0.96047336
0,正常,0.82555646
0,正常,0.9998841
3,R2L攻击,0.98045385
0,正常,0.99944204
1,DoS攻击,0.99999964
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
4,探测攻击,0.9989938
1,DoS攻击,0.99999964
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
4,探测攻击,0.9999964
0,正常,0.9734256
0,正常,0.99876547
0,正常,0.8247291
0,正常,0.9999995
1,DoS攻击,0.8261102
0,正常,0.7357767
0,正常,0.98699737
0,正常,0.42421255
1,DoS攻击,0.99999976
0,正常,1.0
0,正常,0.9999999
1,DoS攻击,0.9996489
1,DoS攻击,0.81439745
4,探测攻击,1.0
1,DoS攻击,0.9970783
1,DoS攻击,0.9999999
1,DoS攻击,0.9999981
4,探测攻击,1.0
1,DoS攻击,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.9990101
0,正常,0.98521197
0,正常,0.9999753
0,正常,1.0
0,正常,0.9988298
1,DoS攻击,0.99999917
0,正常,0.71333545
0,正常,0.99999344
1,DoS攻击,0.99999976
0,正常,0.6628036
0,正常,0.99876547
1,DoS攻击,1.0
0,正常,1.0
4,探测攻击,1.0
4,探测攻击,1.0
0,正常,0.99913293
0,正常,0.98972845
0,正常,0.99984276
1,DoS攻击,0.9998493
4,探测攻击,0.99999905
0,正常,0.9993932
1,DoS攻击,0.9999999
1,DoS攻击,0.9999937
1,DoS攻击,0.9981305
1,DoS攻击,0.9999975
0,正常,0.96968013
1,DoS攻击,0.9999994
0,正常,0.8030813
0,正常,0.8512092
3,R2L攻击,0.9841045
3,R2L攻击,0.71542317
1,DoS攻击,0.99932206
0,正常,1.0
0,正常,1.0
4,探测攻击,0.987823
0,正常,0.9999138
3,R2L攻击,0.9789468
0,正常,1.0
1,DoS攻击,0.99999547
0,正常,0.9995747
1,DoS攻击,0.9999995
0,正常,0.97708434
1,DoS攻击,0.9849806
0,正常,0.9993262
1,DoS攻击,0.80362326
1,DoS攻击,0.9999999
0,正常,0.8773582
0,正常,0.99998033
4,探测攻击,0.9752983
0,正常,1.0
1,DoS攻击,1.0
0,正常,0.99188656
1,DoS攻击,0.9999999
1,DoS攻击,0.9999995
1,DoS攻击,0.95075583
0,正常,0.9974324
0,正常,0.9999857
0,正常,0.9999989
0,正常,0.8886965
0,正常,0.6553766
1,DoS攻击,0.9999982
4,探测攻击,0.9662489
0,正常,0.50123423
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.9540627
1,DoS攻击,0.9999999
1,DoS攻击,0.99999964
0,正常,0.44818866
4,探测攻击,1.0
0,正常,0.9890211
1,DoS攻击,1.0
1,DoS攻击,1.0
1,DoS攻击,0.70130515
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,1.0
0,正常,0.99705696
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9804632
0,正常,0.97658825
4,探测攻击,0.99952555
1,DoS攻击,0.9931344
1,DoS攻击,0.9999999
0,正常,0.7831819
0,正常,0.9967912
4,探测攻击,0.9999846
0,正常,0.5806444
0,正常,1.0
1,DoS攻击,0.53146327
1,DoS攻击,1.0
0,正常,0.86483943
1,DoS攻击,0.9975858
1,DoS攻击,0.9916504
1,DoS攻击,0.9999994
0,正常,0.9935556
3,R2L攻击,0.880718
0,正常,0.9356805
4,探测攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.9672268
0,正常,1.0
1,DoS攻击,0.81138533
1,DoS攻击,0.99999976
0,正常,0.9999999
0,正常,0.99936026
0,正常,0.99913365
3,R2L攻击,0.99832684
0,正常,0.999997
0,正常,0.83627003
0,正常,1.0
0,正常,0.9999999
0,正常,0.8480885
3,R2L攻击,0.9770635
0,正常,0.995915
0,正常,0.9759911
0,正常,0.94886124
1,DoS攻击,1.0
0,正常,0.9912675
1,DoS攻击,0.99829847
0,正常,0.98559165
0,正常,0.5949283
4,探测攻击,0.9999999
1,DoS攻击,0.99999905
0,正常,1.0
0,正常,1.0
0,正常,0.87424296
0,正常,0.9910343
0,正常,0.96378964
3,R2L攻击,0.45521104
0,正常,0.7368271
0,正常,1.0
1,DoS攻击,0.9999976
0,正常,1.0
1,DoS攻击,1.0
0,正常,1.0
4,探测攻击,0.9997694
0,正常,0.90336555
1,DoS攻击,0.9301947
1,DoS攻击,0.9965384
4,探测攻击,0.99996483
1,DoS攻击,0.5382084
1,DoS攻击,0.8622986
0,正常,1.0
3,R2L攻击,0.90953654
4,探测攻击,0.99999833
0,正常,0.5718375
0,正常,0.9292969
0,正常,1.0
3,R2L攻击,0.78000176
1,DoS攻击,0.99352574
3,R2L攻击,0.96517444
4,探测攻击,1.0
3,R2L攻击,0.5193135
1,DoS攻击,0.9220202
0,正常,0.9971317
0,正常,0.79314303
1,DoS攻击,0.99999905
1,DoS攻击,0.9167012
0,正常,0.7965911
0,正常,1.0
0,正常,1.0
0,正常,0.9999949
1,DoS攻击,0.99999976
1,DoS攻击,0.99999976
0,正常,1.0
3,R2L攻击,0.5120195
1,DoS攻击,0.9999999
0,正常,0.9846821
0,正常,0.9993206
0,正常,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.98244023
1,DoS攻击,0.9726801
3,R2L攻击,0.97679603
1,DoS攻击,0.9999999
4,探测攻击,0.5160766
0,正常,0.5075326
4,探测攻击,0.9999443
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.95921385
3,R2L攻击,0.945559
1,DoS攻击,0.9999999
1,DoS攻击,0.99641955
1,DoS攻击,0.9999999
1,DoS攻击,0.9419427
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
0,正常,0.8939869
1,DoS攻击,0.93630624
0,正常,0.9996711
1,DoS攻击,0.6372579
1,DoS攻击,0.949702
1,DoS攻击,0.9999999
3,R2L攻击,0.9988631
0,正常,1.0
1,DoS攻击,0.9999989
3,R2L攻击,0.98912126
4,探测攻击,0.68813443
0,正常,1.0
1,DoS攻击,0.96727717
0,正常,1.0
1,DoS攻击,0.7527435
1,DoS攻击,0.9999995
1,DoS攻击,0.99999833
0,正常,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.58446074
0,正常,0.99892956
0,正常,0.81167716
3,R2L攻击,0.966563
0,正常,0.9999995
0,正常,0.998064
1,DoS攻击,1.0
0,正常,1.0
0,正常,0.90678203
4,探测攻击,0.99962854
0,正常,0.94886136
3,R2L攻击,0.98093766
3,R2L攻击,0.86409575
1,DoS攻击,0.99999547
1,DoS攻击,0.78830343
3,R2L攻击,0.46806064
0,正常,0.99309206
3,R2L攻击,0.56112444
3,R2L攻击,0.9047015
0,正常,0.5806444
1,DoS攻击,0.9802207
3,R2L攻击,0.9988223
4,探测攻击,0.99999607
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,0.90437764
0,正常,1.0
1,DoS攻击,1.0
0,正常,1.0
0,正常,1.0
1,DoS攻击,1.0
1,DoS攻击,0.9999999
3,R2L攻击,0.8759143
1,DoS攻击,0.9369882
0,正常,0.9315174
4,探测攻击,1.0
0,正常,0.99996483
1,DoS攻击,0.86006504
0,正常,0.8927204
0,正常,0.9949986
0,正常,0.9758975
1,DoS攻击,0.9999982
3,R2L攻击,0.9963415
1,DoS攻击,0.99999964
1,DoS攻击,0.9975337
0,正常,0.9998729
0,正常,0.9989178
0,正常,0.9992805
1,DoS攻击,0.99464476
0,正常,0.50902575
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.8610535
0,正常,0.40493485
3,R2L攻击,0.97595924
0,正常,0.9517613
0,正常,1.0
0,正常,0.99897575
1,DoS攻击,0.9999999
0,正常,0.9996848
0,正常,0.75800127
4,探测攻击,0.97930956
0,正常,0.71525013
0,正常,0.8255565
1,DoS攻击,0.9999995
1,DoS攻击,0.99999976
4,探测攻击,0.9227351
1,DoS攻击,0.9999995
1,DoS攻击,0.999995
3,R2L攻击,0.5383093
4,探测攻击,0.9999777
1,DoS攻击,0.99999976
4,探测攻击,0.99999976
1,DoS攻击,0.9999651
1,DoS攻击,1.0
1,DoS攻击,0.97746074
1,DoS攻击,0.9999999
4,探测攻击,0.99978346
0,正常,0.6007349
3,R2L攻击,0.94954544
1,DoS攻击,0.6338397
1,DoS攻击,0.9999939
1,DoS攻击,0.6492355
1,DoS攻击,1.0
1,DoS攻击,0.9999993
4,探测攻击,0.53033
0,正常,0.7233615
0,正常,0.9997675
0,正常,0.99845684
3,R2L攻击,0.42692047
1,DoS攻击,0.9973779
0,正常,0.830402
1,DoS攻击,0.9597416
0,正常,0.99998736
1,DoS攻击,0.78829795
0,正常,0.9999975
1,DoS攻击,0.99999833
1,DoS攻击,0.99999964
0,正常,0.99992514
1,DoS攻击,0.9587993
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.90635735
1,DoS攻击,0.99999905
0,正常,0.6970375
1,DoS攻击,0.9999995
0,正常,0.9987674
0,正常,0.9172507
0,正常,0.9999893
0,正常,1.0
2,U2R攻击,0.71750945
3,R2L攻击,0.80337447
0,正常,0.99830186
1,DoS攻击,0.99999976
0,正常,0.99999344
4,探测攻击,0.99916744
1,DoS攻击,0.99999905
3,R2L攻击,0.8060682
1,DoS攻击,0.99999976
1,DoS攻击,0.99999666
0,正常,0.8030812
4,探测攻击,1.0
0,正常,0.9587329
1,DoS攻击,0.9999999
0,正常,0.9637897
3,R2L攻击,0.89111245
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999995
1,DoS攻击,0.99999976
0,正常,0.9999993
0,正常,1.0
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
0,正常,0.9637898
0,正常,1.0
0,正常,0.9997297
0,正常,1.0
0,正常,0.9033658
1,DoS攻击,0.98749626
3,R2L攻击,0.9940917
0,正常,0.9925694
0,正常,1.0
3,R2L攻击,0.7639086
0,正常,1.0
0,正常,0.99897575
3,R2L攻击,0.9668968
4,探测攻击,1.0
1,DoS攻击,0.9999999
0,正常,0.9999956
0,正常,1.0
0,正常,0.99899286
0,正常,0.9992685
1,DoS攻击,0.9999999
1,DoS攻击,1.0
0,正常,0.9892041
1,DoS攻击,0.6681805
0,正常,0.99997735
1,DoS攻击,0.6293889
1,DoS攻击,1.0
0,正常,0.99908805
0,正常,0.8804318
0,正常,0.6179912
0,正常,0.6931622
0,正常,0.9999926
1,DoS攻击,0.96436733
0,正常,0.9577252
0,正常,0.66167194
1,DoS攻击,0.99999225
0,正常,1.0
0,正常,1.0
0,正常,0.999887
4,探测攻击,1.0
3,R2L攻击,0.9955722
1,DoS攻击,0.9999999
3,R2L攻击,0.93300354
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999999
4,探测攻击,0.9984006
1,DoS攻击,1.0
1,DoS攻击,0.93184805
1,DoS攻击,0.9999999
0,正常,0.9598168
1,DoS攻击,0.99999976
4,探测攻击,0.9999387
1,DoS攻击,0.99992836
0,正常,0.9992685
3,R2L攻击,0.6951737
0,正常,0.9795619
0,正常,0.9999789
1,DoS攻击,1.0
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.88096464
0,正常,0.9993637
0,正常,0.99999976
1,DoS攻击,0.8427341
4,探测攻击,1.0
0,正常,0.99999654
3,R2L攻击,0.9821567
1,DoS攻击,0.62885815
4,探测攻击,0.89788103
1,DoS攻击,0.9999999
1,DoS攻击,0.94261
0,正常,0.79948336
0,正常,0.9999894
1,DoS攻击,0.49228886
1,DoS攻击,0.99999917
1,DoS攻击,0.99262214
0,正常,0.9519962
0,正常,0.99999225
0,正常,1.0
1,DoS攻击,0.7100369
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
1,DoS攻击,0.99999976
4,探测攻击,0.9952846
3,R2L攻击,0.9530079
4,探测攻击,0.9999999
1,DoS攻击,0.99999976
1,DoS攻击,0.99999857
0,正常,1.0
0,正常,0.999881
3,R2L攻击,0.69649476
0,正常,1.0
1,DoS攻击,0.9999999
3,R2L攻击,0.9934469
1,DoS攻击,0.9760888
1,DoS攻击,0.9986285
0,正常,1.0
0,正常,1.0
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99999976
0,正常,1.0
1,DoS攻击,0.9999932
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,1.0
3,R2L攻击,0.9264816
1,DoS攻击,0.9971756
1,DoS攻击,0.9999963
1,DoS攻击,0.9999999
0,正常,0.9998845
0,正常,1.0
1,DoS攻击,0.99130976
0,正常,0.9033659
3,R2L攻击,0.9987942
0,正常,0.99855465
1,DoS攻击,1.0
0,正常,0.66698956
0,正常,1.0
0,正常,0.99999976
0,正常,1.0
3,R2L攻击,0.9899212
3,R2L攻击,0.9235443
0,正常,1.0
1,DoS攻击,0.7150599
0,正常,0.99999213
4,探测攻击,1.0
1,DoS攻击,0.55114955
1,DoS攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.6905665
1,DoS攻击,0.99999976
3,R2L攻击,0.91481495
0,正常,1.0
0,正常,1.0
0,正常,0.78076035
1,DoS攻击,0.9995278
0,正常,0.97260714
0,正常,1.0
3,R2L攻击,0.9211183
0,正常,1.0
0,正常,0.9981857
0,正常,0.8940393
1,DoS攻击,0.99999976
3,R2L攻击,0.99608374
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,1.0
4,探测攻击,0.9999136
0,正常,1.0
0,正常,0.99999917
1,DoS攻击,0.9999999
0,正常,0.9999999
4,探测攻击,0.98951423
0,正常,1.0
1,DoS攻击,0.9999964
0,正常,0.99999976
0,正常,0.86220384
1,DoS攻击,0.9999943
0,正常,0.9957814
4,探测攻击,1.0
0,正常,1.0
1,DoS攻击,0.929744
1,DoS攻击,0.9999995
0,正常,1.0
3,R2L攻击,0.9059514
0,正常,0.9970866
0,正常,1.0
0,正常,1.0
0,正常,0.96196204
0,正常,0.58712125
0,正常,0.9993625
4,探测攻击,0.9999254
1,DoS攻击,0.9999999
1,DoS攻击,0.99999917
0,正常,0.99973994
0,正常,0.9999819
0,正常,0.99970955
0,正常,0.99997425
0,正常,0.9292966
4,探测攻击,0.99976784
1,DoS攻击,0.9999989
0,正常,0.8779927
4,探测攻击,0.99985933
0,正常,1.0
0,正常,0.99972314
1,DoS攻击,0.99999964
0,正常,0.8411683
0,正常,0.9955917
3,R2L攻击,0.9928779
0,正常,0.9172507
4,探测攻击,0.99993145
1,DoS攻击,0.9999999
1,DoS攻击,0.999998
3,R2L攻击,0.72399443
1,DoS攻击,0.9999993
0,正常,0.98420817
3,R2L攻击,0.94785
0,正常,1.0
0,正常,0.99937314
3,R2L攻击,0.7619059
1,DoS攻击,0.99999917
1,DoS攻击,0.9999994
1,DoS攻击,0.99999976
0,正常,0.9999088
4,探测攻击,0.999236
0,正常,0.96968013
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.5981797
4,探测攻击,0.9999143
1,DoS攻击,1.0
1,DoS攻击,0.99999774
1,DoS攻击,0.9957983
4,探测攻击,1.0
0,正常,0.82593596
0,正常,0.6005012
1,DoS攻击,0.9697417
3,R2L攻击,0.91873115
0,正常,0.9990152
3,R2L攻击,0.96398866
3,R2L攻击,0.71025985
1,DoS攻击,0.9999999
0,正常,0.98244035
0,正常,0.99999595
3,R2L攻击,0.5247306
1,DoS攻击,0.9999999
0,正常,0.9995703
3,R2L攻击,0.70554453
0,正常,0.99880004
1,DoS攻击,0.9999999
1,DoS攻击,0.9999678
1,DoS攻击,0.9999988
0,正常,0.99974424
1,DoS攻击,0.9999999
1,DoS攻击,0.9449003
1,DoS攻击,1.0
1,DoS攻击,0.9758482
0,正常,0.94886124
1,DoS攻击,0.9999995
1,DoS攻击,0.9999999
4,探测攻击,0.9804011
4,探测攻击,0.5386886
1,DoS攻击,0.99999976
4,探测攻击,0.921558
4,探测攻击,0.9999863
0,正常,0.99997914
1,DoS攻击,0.9999989
0,正常,0.9754901
4,探测攻击,0.99991
3,R2L攻击,0.8687975
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
3,R2L攻击,0.85226023
1,DoS攻击,0.6907177
3,R2L攻击,0.913737
0,正常,1.0
0,正常,1.0
3,R2L攻击,0.9376419
1,DoS攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.9999999
3,R2L攻击,0.9244719
0,正常,0.99052596
1,DoS攻击,0.9829212
4,探测攻击,0.99996984
0,正常,0.999079
0,正常,0.99881727
0,正常,1.0
4,探测攻击,1.0
0,正常,0.9999999
0,正常,0.9994868
4,探测攻击,1.0
1,DoS攻击,0.96497315
1,DoS攻击,0.971082
0,正常,0.9997178
0,正常,0.9901101
0,正常,0.5323278
0,正常,1.0
1,DoS攻击,0.9999999
3,R2L攻击,0.7817852
1,DoS攻击,0.9999999
0,正常,0.5951428
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99999976
0,正常,0.9999417
3,R2L攻击,0.99929047
1,DoS攻击,0.99999976
4,探测攻击,0.72589076
1,DoS攻击,0.98257625
0,正常,1.0
3,R2L攻击,0.6241823
1,DoS攻击,0.99922645
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
1,DoS攻击,0.9999995
0,正常,0.99960035
1,DoS攻击,0.59886515
1,DoS攻击,0.9968231
0,正常,0.99998605
1,DoS攻击,0.99666256
0,正常,0.9998952
0,正常,1.0
0,正常,0.9746377
4,探测攻击,1.0
0,正常,0.97883713
0,正常,0.9005948
0,正常,1.0
4,探测攻击,0.999949
1,DoS攻击,0.99999976
0,正常,0.99974555
1,DoS攻击,1.0
0,正常,0.99991333
4,探测攻击,0.9941036
0,正常,0.96660966
3,R2L攻击,0.9663685
1,DoS攻击,0.99999774
1,DoS攻击,0.9999993
1,DoS攻击,0.8479621
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.99999964
0,正常,0.9033629
1,DoS攻击,0.94706964
0,正常,0.76822495
0,正常,0.76886874
0,正常,0.9172508
0,正常,0.5070124
1,DoS攻击,0.9393182
1,DoS攻击,0.86976117
0,正常,0.99998665
0,正常,0.9999871
0,正常,0.8030812
0,正常,0.99999356
1,DoS攻击,0.79096395
0,正常,0.9999999
0,正常,0.92929703
4,探测攻击,0.999995
0,正常,0.99991775
4,探测攻击,0.99998724
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.9890211
0,正常,0.67550963
4,探测攻击,1.0
0,正常,0.99999917
1,DoS攻击,0.99999976
1,DoS攻击,0.97115636
0,正常,0.98547214
0,正常,1.0
1,DoS攻击,0.8715043
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.9975018
1,DoS攻击,0.99682105
3,R2L攻击,0.9943461
3,R2L攻击,0.9633964
1,DoS攻击,0.9999987
1,DoS攻击,0.99999964
0,正常,0.9932446
1,DoS攻击,0.99999976
1,DoS攻击,0.9997831
0,正常,0.50586337
0,正常,1.0
3,R2L攻击,0.9989077
0,正常,0.99830186
0,正常,0.9999937
1,DoS攻击,0.99693716
0,正常,0.89370954
3,R2L攻击,0.99712485
0,正常,0.999106
0,正常,1.0
0,正常,0.85220975
0,正常,0.8411683
0,正常,0.9999994
0,正常,0.9990947
0,正常,1.0
0,正常,0.8763989
3,R2L攻击,0.9244719
0,正常,1.0
1,DoS攻击,0.9973349
1,DoS攻击,0.9458459
1,DoS攻击,0.9752803
1,DoS攻击,0.64733374
0,正常,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.9973272
1,DoS攻击,0.93846107
1,DoS攻击,0.9999982
1,DoS攻击,0.99999976
1,DoS攻击,0.99999976
4,探测攻击,0.99990475
1,DoS攻击,0.9657736
1,DoS攻击,0.9999999
1,DoS攻击,0.99999964
3,R2L攻击,0.76711416
4,探测攻击,0.99998474
0,正常,0.9997032
0,正常,0.9438322
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
1,DoS攻击,0.7094144
0,正常,1.0
1,DoS攻击,0.99225086
0,正常,0.99981934
0,正常,0.97883713
0,正常,0.9092104
4,探测攻击,0.9999968
0,正常,0.99999976
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,0.97799784
0,正常,0.8150655
1,DoS攻击,0.5296215
3,R2L攻击,0.9931865
4,探测攻击,1.0
0,正常,1.0
0,正常,0.9906026
1,DoS攻击,0.9999999
3,R2L攻击,0.9681588
0,正常,0.89368325
1,DoS攻击,0.99999976
1,DoS攻击,0.9457863
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.9959965
1,DoS攻击,0.6338397
1,DoS攻击,0.94371045
0,正常,0.99889934
0,正常,1.0
0,正常,0.930661
0,正常,1.0
0,正常,0.9901101
1,DoS攻击,0.9999975
1,DoS攻击,0.9999995
1,DoS攻击,0.9999999
1,DoS攻击,0.9945163
0,正常,0.99591523
4,探测攻击,1.0
4,探测攻击,0.8897601
0,正常,1.0
0,正常,0.8324137
3,R2L攻击,0.9050087
0,正常,0.94886136
0,正常,0.99898773
0,正常,0.4038445
1,DoS攻击,0.7192567
0,正常,0.91482735
0,正常,0.8337218
0,正常,0.84718984
0,正常,0.99960726
3,R2L攻击,0.98859346
3,R2L攻击,0.9782859
0,正常,0.99825674
3,R2L攻击,0.9985246
4,探测攻击,0.98539966
0,正常,1.0
0,正常,0.9996655
0,正常,0.998064
3,R2L攻击,0.7113839
1,DoS攻击,0.9664933
0,正常,0.54182863
4,探测攻击,0.9997303
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999993
1,DoS攻击,0.9999999
0,正常,1.0
3,R2L攻击,0.9976313
0,正常,0.83627
0,正常,0.99988115
0,正常,0.999997
1,DoS攻击,0.9999976
0,正常,0.98005956
0,正常,0.99257845
1,DoS攻击,0.9762681
3,R2L攻击,0.9633888
0,正常,0.8763989
1,DoS攻击,0.9999995
1,DoS攻击,0.9998431
4,探测攻击,0.99950385
1,DoS攻击,1.0
1,DoS攻击,0.99999976
0,正常,1.0
0,正常,0.99924976
3,R2L攻击,0.9302942
0,正常,1.0
1,DoS攻击,1.0
3,R2L攻击,0.5193135
3,R2L攻击,0.99815816
1,DoS攻击,0.99999964
0,正常,0.9909905
3,R2L攻击,0.960278
0,正常,0.90336436
1,DoS攻击,0.5970012
1,DoS攻击,0.99999976
0,正常,1.0
1,DoS攻击,0.99624157
1,DoS攻击,0.9999788
0,正常,0.9261194
0,正常,0.9991146
0,正常,0.99881625
4,探测攻击,0.53784406
4,探测攻击,0.9999908
1,DoS攻击,0.9999999
1,DoS攻击,0.5371589
1,DoS攻击,0.99893636
3,R2L攻击,0.9074192
1,DoS攻击,0.99925834
1,DoS攻击,0.99866486
0,正常,0.9999616
1,DoS攻击,0.9886628
3,R2L攻击,0.7559134
1,DoS攻击,1.0
1,DoS攻击,0.9999999
4,探测攻击,0.99979824
1,DoS攻击,0.9347407
0,正常,1.0
0,正常,1.0
3,R2L攻击,0.9318545
1,DoS攻击,0.9999999
0,正常,0.998064
1,DoS攻击,0.99999774
0,正常,0.9549913
1,DoS攻击,0.99999976
0,正常,0.9995189
0,正常,0.99922824
0,正常,0.999637
1,DoS攻击,0.9999995
0,正常,0.9172502
1,DoS攻击,0.99924123
0,正常,0.9583516
0,正常,1.0
1,DoS攻击,0.9684668
0,正常,0.99525803
3,R2L攻击,0.9798504
0,正常,1.0
4,探测攻击,0.90611637
3,R2L攻击,0.9711373
0,正常,1.0
4,探测攻击,0.99999785
0,正常,1.0
1,DoS攻击,0.99999976
1,DoS攻击,0.9999974
0,正常,0.9999902
0,正常,0.9997267
4,探测攻击,0.9999975
1,DoS攻击,0.7298863
1,DoS攻击,0.9830208
0,正常,0.727475
0,正常,0.96826017
0,正常,0.99991477
0,正常,0.99992704
0,正常,0.9212621
1,DoS攻击,0.77357453
0,正常,0.9903825
0,正常,0.99999654
1,DoS攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.99998975
1,DoS攻击,0.98443085
0,正常,1.0
1,DoS攻击,0.9621083
3,R2L攻击,0.99241394
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999988
4,探测攻击,0.9999964
1,DoS攻击,0.99986994
4,探测攻击,0.9999405
1,DoS攻击,1.0
4,探测攻击,0.9997688
3,R2L攻击,0.8777874
3,R2L攻击,0.67571163
1,DoS攻击,0.9999999
1,DoS攻击,0.99999964
4,探测攻击,0.99998236
0,正常,0.70550185
1,DoS攻击,0.9999999
0,正常,0.9172496
0,正常,0.8608367
0,正常,1.0
1,DoS攻击,0.9989502
1,DoS攻击,1.0
0,正常,0.7125106
0,正常,1.0
1,DoS攻击,0.9999994
3,R2L攻击,0.65239894
3,R2L攻击,0.7708805
4,探测攻击,1.0
0,正常,1.0
1,DoS攻击,0.97256976
0,正常,0.999997
4,探测攻击,0.99999857
1,DoS攻击,0.99999964
1,DoS攻击,0.9999999
0,正常,0.9568061
3,R2L攻击,0.9459078
0,正常,0.9876036
1,DoS攻击,0.9999999
1,DoS攻击,0.99999416
1,DoS攻击,1.0
3,R2L攻击,0.9742285
3,R2L攻击,0.9981673
3,R2L攻击,0.9178589
3,R2L攻击,0.6857873
1,DoS攻击,0.9999999
1,DoS攻击,0.96845275
0,正常,0.998064
0,正常,0.99898785
1,DoS攻击,0.695015
4,探测攻击,1.0
0,正常,0.9999993
1,DoS攻击,0.6498023
0,正常,0.99934894
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999962
0,正常,0.8403126
0,正常,0.615053
3,R2L攻击,0.5596241
0,正常,1.0
4,探测攻击,0.9999747
1,DoS攻击,1.0
3,R2L攻击,0.94656485
1,DoS攻击,0.6492355
1,DoS攻击,1.0
1,DoS攻击,0.37398234
4,探测攻击,1.0
4,探测攻击,0.6843033
0,正常,1.0
0,正常,0.99641514
1,DoS攻击,1.0
1,DoS攻击,0.9999999
4,探测攻击,0.9785861
3,R2L攻击,0.8789245
